package	production_files	production_loc	syfon_client_files
client	2	253	1
cmd	1	70	0
cmd/addref	1	408	1
cmd/addurl	7	1159	3
cmd/auth	2	67	0
cmd/bucket	1	385	1
cmd/clean	1	58	0
cmd/copyrecords	6	1412	4
cmd/credentialhelper	1	174	1
cmd/delete	1	184	1
cmd/deleteproject	1	168	1
cmd/filter	1	126	0
cmd/initialize	1	274	0
cmd/install	1	67	0
cmd/lsfiles	3	433	0
cmd/ping	1	309	1
cmd/precommit	6	496	0
cmd/preset	1	40	0
cmd/pull	1	750	1
cmd/push	2	350	0
cmd/query	1	118	1
cmd/remote	4	222	1
cmd/remote/add	9	760	2
cmd/rm	1	58	0
cmd/smudge	1	89	0
cmd/track	1	64	0
cmd/untrack	1	56	0
cmd/version	1	54	0
internal/config	3	803	0
internal/drslog	1	406	1
internal/drsobject	2	258	1
internal/filter	4	502	0
internal/gitrepo	7	878	0
internal/globusauth	1	543	0
internal/lfs	5	1068	1
internal/lookup	2	257	2
internal/precommit_cache	1	328	0
internal/presets	1	67	0
internal/remoteruntime	3	494	3
internal/resolver	1	317	0
internal/testutils	2	152	0
internal/transfer	11	3007	4
inventory	1	75	0
root	1	35	0
